StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
83289,114795,219349,, ,,,23.25359983,-6.12184355,299.4011976,7.48,0.098732334,G5          ,0.938
84054,115896,221090,, ,,,23.48048517,31.7962072,250.6265664,7.48,0.484864478,F5          ,0.541
84359,116315,221647,, ,,,23.56673122,-24.85964985,60.45949214,7.48,3.572677526,F8V         ,0.546
84885,117087,222837,, ,,,23.73645729,-40.68589138,369.00369,7.48,-0.355153546,K3III       ,1.435
84987,117236,223061,, ,,,23.7717722,9.78551648,45.04504505,7.48,4.211764872,G0          ,0.582
85080,117373,223253,, ,,,23.79896411,-13.91665004,166.3893511,7.48,1.37437236,K0III       ,1.127
202,276,225097,, ,,,0.05719411,20.66591788,64.30868167,7.49,3.448651967,G0          ,0.636
706,965,793,, ,,,0.19871477,-75.47684086,487.804878,7.49,-0.951230695,K4III       ,1.6
1310,1812,1868,, ,,,0.38334221,-6.46298109,138.8888889,7.49,1.776662482,K0          ,1.227
1538,2152,2315,, ,,,0.45349258,25.57858149,204.9180328,7.49,0.93209911,K3III       ,1.19
2242,3178,3853,, ,,,0.67506662,-55.51153487,1234.567901,7.49,-2.967574906,K3IIICN...  ,1.38
2422,3454,4134,, ,,,0.73644603,46.23561757,121.6545012,7.49,2.064359088,F5          ,0.475
2809,4038,4912,, ,,,0.86307229,48.05658159,294.9852507,7.49,0.140998491,K0          ,1.103
3161,4519,5407,, ,,,0.96507635,75.49389094,150.6024096,7.49,1.600840397,A0          ,0.14
3859,5508,6917,, ,,,1.17568611,52.12923848,191.9385797,7.49,1.074188616,A2          ,0.167
4811,6886,9231,, ,,,1.47826058,-68.17505257,155.2795031,7.49,1.534429337,K3III       ,1.185
4982,7125,9335,, ,,,1.52993552,-10.2572838,142.0454545,7.49,1.727863296,A2          ,0.256
5367,7680,10056,, ,,,1.64772389,31.64949691,429.1845494,7.49,-0.673220395,K0          ,1.115
6335,9099,11952,, ,,,1.95358013,-7.81379137,740.7407407,7.49,-1.858331158,G5          ,1.319
6517,9363,12175,, ,,,2.00486538,38.59758506,202.020202,7.49,0.963025995,A0          ,0.06
6570,9437,12634,, ,,,2.02003668,-66.34878614,1538.461538,7.49,-3.445433217,M3III       ,1.645
6831,9802,12441,, ,,,2.10073527,74.58370931,416.6666667,7.49,-0.608943791,A0          ,0.224
6876,9865,12974,, ,,,2.11557579,-1.82366231,135.6852103,7.49,1.827337439,G5          ,1.008
7502,10761,14293,, ,,,2.30777146,-8.35934828,232.0185615,7.49,0.662386351,G5          ,0.989
7665,10983,14792,, ,,,2.35937491,-48.31221324,277.7777778,7.49,0.271512504,K1III       ,0.1
7960,11382,15362,, ,,,2.44387962,-51.704076,132.2751323,7.49,1.882608978,F5/F6V      ,0.463
8353,11941,15942,, ,,,2.56764754,12.18094738,43.08487721,7.49,4.318375702,G0          ,0.666
8843,12630,16912,, ,,,2.70518335,-16.02143292,127.7139208,7.49,1.95880881,A6m...      ,0.419
8867,12661,16810,, ,,,2.7114888,32.90158684,223.7136465,7.49,0.741537616,F0          ,0.335
10130,14457,19480,, ,,,3.1093516,-39.78012958,278.551532,7.49,0.265472243,M1III       ,1.635
10306,14689,19593,, ,,,3.16267876,20.00111317,215.5172414,7.49,0.822589903,K0          ,1.222
10406,14828,20465,, ,,,3.19125688,-74.66561861,206.6115702,7.49,0.914226808,K0III       ,1.035
11907,16997,21910,, ,,,3.64343419,74.73786691,255.7544757,7.49,0.450883787,G8III       ,1.03
12361,17659,23737,, ,,,3.78226136,-14.47828899,237.5296912,7.49,0.611410479,K3III       ,1.453
12660,18070,23602,, ,,,3.86216239,70.50812473,135.3179973,7.49,1.833222192,A3          ,0.238
13072,18665,25231,, ,,,3.99625443,-17.9122722,724.6376812,7.49,-1.810604568,K3III       ,1.462
13901,19830,26875,, ,,,4.25189314,3.24652559,115.6069364,7.49,2.175080537,A0          ,0.116
14595,20742,28194,, ,,,4.44473816,-6.40412943,207.0393375,7.49,0.909735654,G5          ,0.913
14617,20770,27920,, ,,,4.45017787,52.00231765,591.7159763,7.49,-1.370566477,K5          ,1.677
14659,20826,28237,, ,,,4.46278029,11.73644954,47.21435316,7.49,4.119629779,F8          ,0.56
14867,21098,28849,, ,,,4.52085626,-35.77364859,546.4480874,7.49,-1.197744551,K0III       ,1.279
14960,21229,28401,, ,,,4.55428451,64.98840275,91.15770283,7.49,2.691033138,F5          ,0.464
15194,21537,29356,, ,,,4.62408657,0.55309034,62.61740764,7.49,3.506524581,G5          ,0.571
15740,22296,30486,, ,,,4.80163671,0.67580977,57.83689994,7.49,3.678974966,F2          ,0.453
15868,22465,30164,, ,,,4.83484527,66.53542188,295.8579882,7.49,0.134583501,K0          ,1.238
16038,22706,30945,, ,,,4.88284073,26.77757913,150.8295626,7.49,1.597567642,K3III       ,1.419
16176,22905,31527,, ,,,4.92734011,-23.24219539,38.00836184,7.49,4.59060424,G2V         ,0.606
16242,22984,31489,, ,,,4.94549729,8.82240617,157.7287066,7.49,1.500446289,A2          ,0.219
16806,23757,32867,, ,,,5.10636376,2.67327405,146.8428781,7.49,1.65573556,B8V         ,-0.1
16996,24008,33649,, ,,,5.16104369,-44.33572228,60.56935191,7.49,3.578735366,F5V         ,0.463
17030,24052,33002,, ,,,5.16880911,53.70979355,159.2356688,7.49,1.479798219,B9          ,0.06
